文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI,公開番号,公告番号,登録番号,審判番号,その他,ステージ,イベント詳細,文献URL
特開2023-022136,特願2022-185671,2022/11/21,2023/02/14,ＬＩＤＡＲシステム及び方法,イノヴィズ　テクノロジーズ　リミテッド,"G01S17/894,G01S17/931,G01S7/481@A,G01S7/484,G01S7/497",特開2023-022136,,特許7281594,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-022136/11/ja
特開2023-022134,特願2022-185629,2022/11/21,2023/02/14,運転支援装置、運転支援方法,株式会社ＪＶＣケンウッド,"G08G1/16@C,G01C21/34,B60W50/14,G08G1/0962",特開2023-022134,,特許7439886,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-022134/11/ja
特開2023-021994,特願2022-173997,2022/10/31,2023/02/14,自動運転車両に対するデータ処理方法及び装置、電子機器、記憶媒体、コンピュータプログラム、ならびに自動運転車両,アポロ　インテリジェント　ドライビング　テクノロジー（ペキン）カンパニー　リミテッド,"G01S17/86,G06T7/55,G05D1/02@H,B60W60/00,B60W40/02,B60W50/00,G01S17/931,G05D1/24,G05D1/242,G05D1/245,G05D1/43,G05D111:00,G05D111:50,G05D111:63",特開2023-021994,,特許7369847,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-021994/11/ja
特開2023-021919,特願2022-098417,2022/06/17,2023/02/14,自動運転車両の制御方法、装置、電子機器及び読み取り可能な記憶媒体,ベイジン　バイドゥ　ネットコム　サイエンス　テクノロジー　カンパニー　リミテッド,"G08G1/09@V,G08G1/13,G08G1/00@D,B60W50/00,B60W60/00",特開2023-021919,,,,,（出願の）却下・拒絶,出願の拒絶・却下,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-021919/11/ja
特開2023-021877,特願2021-127021,2021/08/02,2023/02/14,インターネットとサービス展開並びにセキュリティの強化方法,大谷　広海,G06Q50/10,特開2023-021877,,,,,（出願の）却下・拒絶,出願の拒絶・却下,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-021877/11/ja
特開2023-021489,特願2021-126379,2021/08/02,2023/02/14,運転制限装置,矢崎総業株式会社,"G08G1/16@C,G08G1/09@V",特開2023-021489,,,,,（出願の）却下・拒絶,出願の取下げ,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-021489/11/ja
特許7583941,特願2023-539686,2022/06/16,2023/02/09,ステアリング装置,クノールブレムゼ商用車システムジャパン株式会社,"B62D6/00,B62D5/065@B,B62D5/04,B62D119:00",WO2023/013258,,特許7583941,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7583941/15/ja
特許7545589,特願2023-539608,2022/02/08,2023/02/09,運転支援装置、及び運転支援方法,日立Ａｓｔｅｍｏ株式会社,G08G1/09@H,WO2023/013107,,特許7545589,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7545589/15/ja
特表2024-533966,特願2024-506640,2022/08/04,2023/02/09,充電ステーションにおける電気車両の駐車支援,アティエヴァ、インコーポレイテッド,"H02J7/00,301@B,B60W60/00,B60W30/06,B60L53/14,B60L53/66,H02J7/00,301@C",特表2024-533966,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-533966/11/ja
特開2023-021159,特願2022-190757,2022/11/29,2023/02/09,自動運転制御装置及び車両,エイディシーテクノロジー株式会社,"B60W60/00,B60W50/14,G08G1/16@C,B60W40/08",特開2023-021159,,特許7427280,,,特許 有効,権利の移転,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-021159/11/ja
